title,genre,year,runtime,rating,votes,plot,imdb_url
Bhedako Oon Jasto,Documentary,2006,3300.0,,,"Bright, genial, and intensely energetic, Narayan Wagle is one of Nepal's most widely followed journalists. Now the man, who has made a career writing about others, finds himself as a character in a story. Bhedako Oon Jasto, or Like Sheep's Wool, an hour long documentary, is named after the song he first heard in a highland village north of Kathmandu. It is his deeply personal odyssey in search of the elusive tune. For eight long years, Wagle would sing Bhedako Oon Jasto - to his friends, and then singers and musicians, to check if they were familiar with the tune, but to no avail. Early this year, Wagle has his calls answered. Wagle sings the song to Amrit Gurung of Nepathya. Amrit shows interest to sing the song, and requests Wagle to give him the lyrics in writing. Wagle puts forward a clause - he tells Amrit - "" Both you and me have to revisit the place where I heard this song. You need to get the feel of the local essence, and I need to know more on the people and place - to write the song."" The travel is agreed upon. Danu - the current bassist of Nepathya, follows them to observe the tunes of the Tungna. For 10 days, Nepathya (Amrit Gurung and Danu), travels with Wagle to the highland village in Langtang. A part-time filmmaker Kiran Krishna Shrestha follows the research process on the search of the song - Bhedako Oon Jasto... Kiran with his camera becomes the 'unseen' fourth character of the film.",https://www.imdb.com/title/tt5337936/
Resham Filili,"Comedy, Drama",2015,9120.0,5.7,102.0,"Resham Filili follows the friendship, dreams, hopes and deeds of Resham and Hariya - both whethered by bad luck and misfortunes, must at any cost beat the oddest odds to save their lives from Dorje's men.",https://www.imdb.com/title/tt4624138/
KTM Cocktale,Drama,2017,5400.0,8.5,24.0,This film contains 4 days of the life of a drug dealer in Kathmandu.,https://www.imdb.com/title/tt6440150/
Rahar,Romance,1996,,,,Add a Plot,https://www.imdb.com/title/tt8226448/
Karma,Drama,2006,5400.0,,,"In a nunnery in the high desert mountains of Mustang, a revered abbess dies, leaving signs that she will be reborn in the precious human form. Prayers and ritual must be done to help her consciousness into its next rebirth, but the nunnery coffers are empty. The senior nuns decide that the only way out is get back money loaned out by the nunnery. A mysterious loan was made out to an equally mysterious Mr. Tashi who visited the senior nun in her last days. Given the shady rumours about Mr. Tashi, the nuns are convinced he took advantage of her in her dying state. Two nuns are assigned to retrieve the money; Karma, a free-spirited nun, and her opposite, a textbook-sort of nun called Sonam. They journey from the cloistered world of the high mountains, to the faraway cities of sin, to find the elusive Mr. Tashi.",https://www.imdb.com/title/tt0844700/
The Contagious Apparitions of Dambarey Dendrite,"Short, Adventure, Drama",2013,1080.0,7.0,11.0,"Dambarey is a street kid, who in a dendrite induced trance, turns invincible to outfox Kathmandu with his gang of five. Little does he know that his altered mind is playing wicked tricks to lead him and his friends to a place of no return.",https://www.imdb.com/title/tt3012146/
Panchhi,Drama,2001,,,,"Every parent in this world loves his/her child very much. They are dearer than their own life and this is the truth. From childhood till he/she becomes an adolescent they have to think about their future, show them the right path giving useful guidelines from time to time, which will enable to lead a good life. When they reach high school and college, they share their life with the person they like and love. But in this 21st century, the young generation can differentiate between what is good and what is bad. They prefer their own choices. The living standard and financial position is a not a barrier between the two lovers.",https://www.imdb.com/title/tt2775846/
Ketan Chettri: Lai Lai,"Short, Music",2018,300.0,,,Add a Plot,https://www.imdb.com/title/tt9469682/
Tibetan Illusion Destroyer,"Documentary, Short",,2400.0,,,Tibetan Illusion Destroyer is a 3D short film documenting the Mani Rimdu Festival in Nepal. The festival originated in Tibet and is still performed in an authentic colorful ceremony in the shadow of Mount Everest. A modern day purpose of the festival is to destroy illusions that lead to emotional suffering. The film allows the viewer to experience a rare and sacred ceremony in the Himalaya Mountains with a path towards achieving happiness.,https://www.imdb.com/title/tt5777158/
Ek Din Ek Raat,Horror,2011,,4.9,7.0,Add a Plot,https://www.imdb.com/title/tt5192776/
Adalat,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt10003792/
Behuli,"Drama, Romance",1989,,,,Add a Plot,https://www.imdb.com/title/tt8505114/
Ma Yesto Geet Gauchhu 2,Drama,,,,,Sequel to Ma Yesto Geet Gauchhu.,https://www.imdb.com/title/tt7889894/
Trembling Mountain,Documentary,2016,5040.0,,,"The film follows the residents of Langtang village in upper Rasuwa district, Nepal, following their evacuation to Kathmandu in the aftermath of the April 2015 earthquake. Most residents are taken to a large Gelug monastery where they are slowly provided with basic shelter, limited food and negligible health care. The film maker interviews individuals suffering from the trauma with no psychological support and barely able to cope with the heat and low altitude. He follows the local cheesemaker when a group returns to their villages weeks later searching for bodies and livestock.",https://www.imdb.com/title/tt7700812/
The Rickshaw Puller,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0416188/
Kohi Mero,Romance,2010,7560.0,7.2,12.0,The search for that special person and the sacrifice it takes for us to show our love for each other.,https://www.imdb.com/title/tt2102353/
Parivara,"Documentary, Short, Drama",2016,720.0,8.7,6.0,"Based on the true life stories of the children at the Goldungha Orphanage for the Blind in Nepal, Parivara is a positive and hopeful story following young Kopila through a fateful day in her life following the 2015 earthquake. It is a universal story demonstrating the beauty and resilience of the human spirit.",https://www.imdb.com/title/tt5646492/
Pashupati Sharma: Lutna Sake Lut,"Short, Music",2019,,,,Add a Plot,https://www.imdb.com/title/tt9800632/
Fanko,"Action, Drama, Thriller",2016,,6.4,17.0,A driver named Bhakti Thapa is assigned a job to transport 1 crore rupees from Pokhara to Kathmandu. But people having this secret information are behind him to rob him when the chance comes.,https://www.imdb.com/title/tt6149934/
Apabad,"Comedy, Drama",2012,,7.5,66.0,"The film depicts an encounter between Suyog (Rajballav Koirala) and his experiences in a lonely and secluded island after trying to escape his good for nothing fate. Facing the failures even before starting his career, Suyog decides to put an end to all his miseries. However, death betrays him and he reaches an isolated island where he faces a hard time for self survival. On the other hand, Sunanda(Nisha Adhikari), is a friend in need to Suyog. However, after the supposed demise of her friend, the sympathy turns into love as the lady reads the boy's personal diary. The protagonist is carried to an unknown island by the water waves where he struggles hard for survival. Finally, he wins over the loneliness and finds a way out of the abandoned land.",https://www.imdb.com/title/tt2353801/
Laure,Comedy,,,,,Add a Plot,https://www.imdb.com/title/tt6511860/
Afno Ghar Afno Manche,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0303610/
Bicycle Dreams,"Adventure, Family",2014,4200.0,,,"Bicycle Dreams follows two boys as they come of age in the ancient city of Kathmandu. Like kids the world over, they are pursuing a dream :an electric blue, 18 gear mountain bike. The boys can't possibly afford such a bike, but a poster offering a reward for finding a lost dog raises their hopes. The boys experience adventures and set back in their pursuit of dog and bike, through crowded alleys and market places of the old city, into inner sanctum of a prophetic seer, and to an abandoned temple where a 'holy' man steals their money. Overwhelmed by obstacles, their friendship is tested. Through the pursuit of their dreams, however, the boys discover what's really important in life-something bigger than the bicycle.",https://www.imdb.com/title/tt4171716/
Dhukdhuki,Romance,2000,9780.0,7.9,7.0,Add a Plot,https://www.imdb.com/title/tt0384914/
Boyfriend,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt9892262/
Hero Returns,Action,2017,7200.0,,,This is an action journey of Sabin Shrestha to uncover love of Rekha Thapa.,https://www.imdb.com/title/tt6796344/
Hemant Rana: Nacha Maya,"Short, Music",2018,,,,Add a Plot,https://www.imdb.com/title/tt9469636/
The Legend of Shankhadhar,"Animation, Biography, Drama",2016,3300.0,7.7,13.0,"First animated feature film in Nepalbhasha/Nepali languages with English subtitles, is a biopic on Shankhadhar Shakhwa, who cleared everyone's debt and started Nepal's original era, Nepal Samvat, on 20th October 879 AD.",https://www.imdb.com/title/tt6999010/
Saraswati,Drama,1995,,,,Add a Plot,https://www.imdb.com/title/tt8283040/
Bhool Bhulaiyaa,Romance,2015,,,,Add a Plot,https://www.imdb.com/title/tt9081378/
Ber Pipal,"Drama, Horror, Mystery",2001,,7.3,7.0,"Prabhakar and Devi love each other but due to their misfortune, their love story doesn't have a happy ending. Years later, when Prabhakar visits Devi's village, an unusual experience is waiting for him.",https://www.imdb.com/title/tt0396498/
Batch No.16,Action,2011,,5.9,37.0,"Ram and Guru are police officers who have proved themselves time and again of being trustworthy and capable. When an important mission comes up where the prospect of earning a quick buck is too lucrative to pass up, Guru decides to forgo the mission and get his hands on a large sum of money. Ram trying to stop his friend from making a big mistake escapes with the money only to take the police think he betrayed his country. As Ram struggles to prove his innocence and protect his family, Guru is hot and Ram's trail trying to claim what he thinks is rightfully his.",https://www.imdb.com/title/tt2098630/
Between Matina,"Short, Drama, Thriller",2013,2520.0,,,"Directed and Story by Pranab Joshi, Script and Screenplay by Susmita Maskey, Casting and Production by Prasanna Gopali, Assistant Direction by Raja Ram Nepal, Direction of photography and Screen play by Tom Kuggler, Cinematography and Camera by Ravi Sayami and Pranab Joshi, Edited by Sushil Neupane and Pranab Joshi. 'Between Matina' is a fictional thriller based in historic city of art and culture Patan. It deals with a story of two young girls aspired to become Living Goddess 'Kumari'. Matina and Kavita are best friends until Kavita gets selected as a 'Kumari' and she becomes a Goddess over the selection and Matina an ordinary girl's life, with shattered dream, takes a twist.",https://www.imdb.com/title/tt3195312/
The Karma,Action,2018,,,,Add a Plot,https://www.imdb.com/title/tt8677038/
Seven Days in Nepal,Documentary,2017,3780.0,,,"On the 25th of April, the Bajagain family of Nepal had everything: a house, farm, garden, cattle, and a happy life. But the earthquake that struck just before noon changed everything: the Bajagain family lost it all, even their vegetable garden.",https://www.imdb.com/title/tt5142718/
Antaral,Drama,2013,,,,Add a Plot,https://www.imdb.com/title/tt6724886/
Everest 3 Pass Trek,"Documentary, Adventure",2018,6060.0,,,Add a Plot,https://www.imdb.com/title/tt8979810/
Chankhe Shankhe Pankhe,Comedy,2015,,8.0,6.0,"The Nepali movie 'Chankhe Shankha Pankhe' was released in theater on September 25, 2015. The movie featuring Sudarshan Thapa in leading role is also produced and directed by himself with producer Santosh Sen Thakuri.",https://www.imdb.com/title/tt5955818/
Krodh,,2006,,,,Add a Plot,https://www.imdb.com/title/tt0888035/
Red Monsoon,"Drama, Family",2014,5280.0,7.7,16.0,Inner city characters of the new Nepali generation struggle in a chaotic Kathmandu Valley society.,https://www.imdb.com/title/tt2923296/
Himmat,Drama,2008,,,,Add a Plot,https://www.imdb.com/title/tt8359454/
Ke Ma Timro Hoina Ra,Romance,2016,,,,Add a Plot,https://www.imdb.com/title/tt7643854/
Hairaan,Action,2017,,,,Add a Plot,https://www.imdb.com/title/tt5958840/
Nai Nabhannu La 5,"Drama, Romance",2018,,7.4,31.0,Add a Plot,https://www.imdb.com/title/tt8673950/
Mirga Trishna,Drama,2012,,,,Add a Plot,https://www.imdb.com/title/tt6607392/
Blue Kangling,Documentary,,3120.0,,,Tibetan Buddhist search for the meaning of death in an unforgiving Himalayan landscape and expose the core of human nature.,https://www.imdb.com/title/tt8899994/
Kohalpur Express,Comedy,2018,,7.6,10.0,"Kohalpur Express is a story about three women who try their luck with the same. What follows is a series of comical events, misfortunes and coincidences that only adds more misery to their already troubled lives.",https://www.imdb.com/title/tt8212142/
Sambodhan,Crime,2015,,6.7,7.0,Add a Plot,https://www.imdb.com/title/tt6624908/
