title,genre,year,runtime,rating,votes,plot,imdb_url
The Shape of Things,"Documentary, Short, Biography",2011,1440.0,,,"This heartwarming documentary takes you halfway across the world and into Nepal's Srijana School for the Deaf. The film offers an intimate look into the everyday lives of four deaf kindergartners, featuring newcomer Lija Gurung. From her inaugural step into the classroom through her first six months of school, the film follows Lija's journey as she forms friendships, learns sign language, and slowly integrates into her new world. The filmmaker's meditative presence and deep love for the children is made manifest in a tender, compelling portrait of Lija and her classmates, allowing very personal access to this pint-sized world filled with curiosity and exploration.",https://www.imdb.com/title/tt2122506/
Sahar Jane Kura Sunera,"Short, Musical",2002,,,,Add a Plot,https://www.imdb.com/title/tt6254886/
Love at First Sight,Short,2010,,,,Add a Plot,https://www.imdb.com/title/tt3209002/
Beyond the Waters,"Documentary, Short",2017,1680.0,,,Discover what is beyond the waters in a spiritual pilgrimage that reveals we are all connected.,https://www.imdb.com/title/tt7720542/
Anish Rajbhandari: Changa,"Short, Musical, Romance",2017,240.0,,,Add a Plot,https://www.imdb.com/title/tt7650506/
Army,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0303679/
The Monk: Lama La,Drama,2016,4980.0,,,"Jamyang is a young Buddhist monk who has recently finished his intermediate monastic education. He is now heading towards higher monastery for his higher education. In the course of his journey into the war-torn mountains, he meets a young rebel, Arjun. This is a story of their journey where they form an unlikely friendship that will change both of their lives.",https://www.imdb.com/title/tt6033912/
Troubled Water,"Documentary, Short, News",2014,2340.0,,,Its water problem in Kathmandu valley.This has become a fable almost small resources have been dried up and up. Main source of water supply fulfilling 20% of total demand. Because rapidly growth polulation and huge underground building construction is caused to dry ponds and stone tap. But sever condition can be improved if plan and policy made by government and implemented them properly. major problem of poor people they can not bought water and no natural source .,https://www.imdb.com/title/tt4911914/
Awaken Eyes,"Short, Drama",2008,1680.0,,,Awaken eyes is a piteous story about a newly wedded couple who have a hardest time to get physically connected. Sharing the room with the sick mother really makes the groom and the bride reluctant to sex on first night of their marriage as they are frequently disturbed with the sick sighs of the mother. Fighting with the obsession of the biological urge they are finally able to make love the following night but the tragedy strikes when they remain aloof of their sick mother's presence.,https://www.imdb.com/title/tt1843851/
Yatra Ma Bhetera,"Short, Musical",2000,,,,Add a Plot,https://www.imdb.com/title/tt6273048/
Malai Maaf Garidau,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0316210/
Breaking Walls,Short,2016,,,,"To honor the new generation of young women, women who are determined to achieve their goals and be themselves, and who are so ready to take down any barrier.",https://www.imdb.com/title/tt7039184/
Timber to Tibet,"Documentary, Short",2006,1800.0,,,Add a Plot,https://www.imdb.com/title/tt5337930/
Tashi's Turbine,"Documentary, Adventure",2015,3120.0,,,"Tashi Bista dreams to install a makeshift wind turbine in Namdok, a remote village nestled high amongst the Himalayas of Nepal. Namdok, battered by wind and cold has been in darkness for centuries. Wearing Ray Bans to shield his eyes from the dust and just a leather jacket to insulate him from the bitter cold he surveys the village. He grew up in this region without electrical power. He is determined to bring lights to Namdok in an effort to prove himself to the skeptical village community. Tashi's Turbine is a character driven film that shows the impact of one man's dream for light, in a village waiting for development.",https://www.imdb.com/title/tt4344906/
Bhuimanchhe,Drama,2017,,,,Add a Plot,https://www.imdb.com/title/tt8820826/
Chame and Thame,Short,2014,840.0,,,The film is about the single father-son debate for a very small portion of land where Thame dreams those could be merely fulfilled.,https://www.imdb.com/title/tt5687426/
Nabarsiyeki Jhari,"Short, Drama",2006,2040.0,7.2,10.0,"Set in a remote village in Nepal, Nabarsiyeko Jhari (A Silent Monsoon) explores the world of Durga as she struggles to set her twelve year old daughter free from their family profession of prostitution.",https://www.imdb.com/title/tt0985673/
Aamako Man,"Drama, Family",2018,3600.0,,,Add a Plot,https://www.imdb.com/title/tt9876994/
Surya Ply,Short,2003,,,,Add a Plot,https://www.imdb.com/title/tt6235662/
Sex Ed,"Short, Musical",2015,120.0,,,Add a Plot,https://www.imdb.com/title/tt7056206/
Where Have All The Smiles Gone,Documentary,,,,,Add a Plot,https://www.imdb.com/title/tt9220654/
Dancing on the Fire: Khali Khaney,"Documentary, Adventure",2011,1560.0,,,Running and Dancing on the fire by shamanistic method for the salvation of the soul.,https://www.imdb.com/title/tt1977757/
Remembering Tarkovsky,Short,2016,420.0,,,"A man is enjoying his loneliness, observing things around him. Remembering his memories, desires and thinking of what made of this life in a narrow world he lives in.",https://www.imdb.com/title/tt6946062/
Chyatiyeko Note (A Day with Rs 100),Short,2010,,,,Add a Plot,https://www.imdb.com/title/tt3208998/
Ujwal Bhandari: K dosh thiyo...,"Short, Music, Musical",2006,300.0,6.6,5.0,Ani has to choose between someone she loves and someone who loves her. Choice is simple but decision is tough. Love finds a new way as she decides to remain unmarried worshiping her life in the name of God.,https://www.imdb.com/title/tt2579490/
Butterfly (colors of love),Thriller,2018,,,,Add a Plot,https://www.imdb.com/title/tt8658134/
Audition,Short,2012,,,,"A common guy who is so much passionate and has keen interest to be a superstar in film industry. As per result, he being overconfident , finds acting AUDITION as great opportunity to reflect his talent. Finally he rushes and goes for AUDITION.",https://www.imdb.com/title/tt8396098/
NOMADS BUT NOT...,"Documentary, Short, Adventure",2014,1380.0,,,"what will be the effect upon the Sailung area's biodiversity ? After they change their Profession can they improve their living standard? And what is the present market of Chhurpi (Product of Nuk's milk).Why Chauri is necessary in sailung for ecosystem balance? Why Chauri is important for the preservation of history, culture and rituals of Sailung?",https://www.imdb.com/title/tt4911920/
Maxx,Biography,,,,,Add a Plot,https://www.imdb.com/title/tt8698692/
Prarabdha,"Short, Drama",2013,1860.0,,,"Santosh is an impoverished, pathetic, down and out school teacher who miserably fails in everything in life. One day he tries to commit suicide, and fails even at that! Santosh looks like any other ordinary school teacher, dressed in cotton trousers and shirt, shaved clean with a band aid on his forehead. His eyes have a look of sadness - speaking of a life spent in abject poverty and a cold resentment against a cruel, heartless society. But today, for some undisclosed reason, his spirits are high and he looks happier than usual.",https://www.imdb.com/title/tt3691912/
The Knot,"Short, Comedy, Drama",2014,600.0,,,"A story about husband and wife, unfolding their past and present during the shopping for the festival 'Dashain'.",https://www.imdb.com/title/tt5874000/
Beneath Everest: Nepal Reborn,"Documentary, War",2010,6000.0,,,"From deep in the Himalaya mountains where the Maoist soldiers greet the morning sun as they warm up, to the cities where a powerful movement for change explodes on the streets, people of Nepal have experienced moments they never thought possible. Filmed over four years during the height of the insurgency and the historic transition of Nepal from a 240-year old monarchy to a Republic nation, 'Beneath Everest' is a journey that exposes the grass root realities of Nepal's ten-year war. The film critically questions the use and continuation of violence and challenges its justifications. Directed by a native Nepali, the film encourages Nepalis silenced by fear to tell their stories, and challenges the to reflect on their fears, triumphs and hopes as Nepal begins the long journey towards peace.",https://www.imdb.com/title/tt1590282/
Sapana,Drama,1993,,,,Add a Plot,https://www.imdb.com/title/tt8505204/
Kati Dherai,"Short, Romance",2015,,,,Add a Plot,https://www.imdb.com/title/tt5007838/
So Simple,Drama,2012,,,,Add a Plot,https://www.imdb.com/title/tt8374600/
They Call It Love,"Short, Drama",2012,900.0,,,"""They call it Love"" tells the story of two couple we movie in despite objection from their family. As they live with each other they discover each other's past lives, which leads to more problems in their lives. It's a simple story told through use of montages.",https://www.imdb.com/title/tt2737946/
The Outsider's Band: Maili,"Short, Musical",2016,300.0,,,Add a Plot,https://www.imdb.com/title/tt7035404/
z,"Short, Drama, Family",2017,360.0,,,A modern man is in search for meaning of his existence in meaninglessness.,https://www.imdb.com/title/tt8043260/
Raanko,,1996,,,,Add a Plot,https://www.imdb.com/title/tt0316464/
Premnath,Action,,,,,Add a Plot,https://www.imdb.com/title/tt9537148/
Mahakabi Devkota,"Documentary, Biography",2001,,,,"Based on the life and work of poet, Laxmi Prasad Devkota.",https://www.imdb.com/title/tt8503008/
Ajambhari Maya,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0315156/
The Touched,Documentary,2011,3000.0,,,"The documentary 'Touched' provides a unique glimpse behind the walls of Maiti Nepal, an institution created by Anuradha Koirala (CNN hero 2011) to give shelter and strength to Nepalese women who escaped the brothels of Mumbai, Delhi and the Middle East. Some of these women were as young as eight when they were forced to work in the brothels, this happens to thousands of girls every year. Three artists from Australia went to Kathmandu to help the women paint the walls of the institution with images of color and beauty. As the mural unfolds, the lives of the women in the hospice is revealed and their stories are told, sharing their attitudes to life and hopes for the future. It is a story of courage and survival in the face of seemingly impossible odds.",https://www.imdb.com/title/tt3346890/
UnShattered Desires,"Documentary, Adventure, Drama",2016,1680.0,,,"Just after the devastating earthquake of 25 April, 2015, the district of Gorkha in Nepal was highly affected as the epicenter of the quake was itself was at village of Barpak in Gorkha. It was not easy for the people of the most of affected area to come back into the normal life. Every thing was not in order. Even the government was confused about the way to reach out to the people in effective way. But for the people of Sirdivas village development committee(VDC) in Gorkha, near epicenter of the earthquake, the story was different. They found a way to move out of panic situation and get along to the normal life. This is a film about courage of local people of Sirdibas VDC, a remote area in Gorkha district in Nepal, which was the epicenter of devastating 7.8 Richter scale earthquake on April 25, 2015. This is a story of people coming out of trauma and getting back to the normal life. How they came out of their damaged houses and get along to build a new foot trail of opportunity. This is story of a very noble initiative of a local NGO of Gorkha, UN Nepal to bring back the people to normal life after earthquake. Shot entirely during the aftermath of the earthquake the film is a unique story of courage of villagers living far beyond the signs of development. It is the story about meaning of development to the villagers and how they get along with to develop their village during worst situation they ever faced in their lifetime.",https://www.imdb.com/title/tt5611192/
Parikshya,"Short, Crime, Mystery",2017,1200.0,,,Moral dilemma of a witness of a cow muderer.,https://www.imdb.com/title/tt7227884/
The Palmist,"Drama, Mystery, Romance",2014,5340.0,,,Add a Plot,https://www.imdb.com/title/tt4701840/
Kutumberi Saino,Drama,2017,10800.0,,,Add a Plot,https://www.imdb.com/title/tt7039306/
Mr. Mangale,,2008,,,,Add a Plot,https://www.imdb.com/title/tt8822142/
Kehi Mitho Yaadma,"Short, Music",2018,,,,Add a Plot,https://www.imdb.com/title/tt7874970/
Gold Coast 2 Ghorka,Drama,2019,,,,Add a Plot,https://www.imdb.com/title/tt10534522/
Soltini,"Action, Romance",2005,,,,Add a Plot,https://www.imdb.com/title/tt1039910/
Yo Raat Behoshi Yo Bata Behoshi,"Short, Music",2018,,,,Add a Plot,https://www.imdb.com/title/tt7612848/
Voex,"Short, Horror",,,,,A depressed teen wants to improve his lifestyle and forget his past but then he finds a coin bank shaped like a pigeon who fulfills all his wishes but..,https://www.imdb.com/title/tt8568942/
Choor: Here,"Documentary, Short",2013,,,,Add a Plot,https://www.imdb.com/title/tt6477572/
Bhai Tika,"Short, Drama",2016,,,,A story about a brother and a sister around the Bhai Tika festival.,https://www.imdb.com/title/tt8423018/
Gaajal,"Musical, Romance",2001,3960.0,,,Add a Plot,https://www.imdb.com/title/tt0301326/
The Way To Heaven,Documentary,2017,960.0,,,"Pashupatinath temple is a huge structure that looms over the banks of the Bagmati river, which ultimately joins the holy river Ganges. Hindu cremation ceremonies take place here on an industrial scale. Visitors are invited to observe the rituals which might seem a little strange, but to Hindus death is an important part of the journey of life",https://www.imdb.com/title/tt6966616/
Aashirbad,,2001,,8.6,5.0,Add a Plot,https://www.imdb.com/title/tt0303602/
K Desh Doshi Cha?,"Short, Drama, Family",2014,480.0,,,"""We reap what we sow. We are the makers of our own fate. The wind is blowing; those vessels whose sails are unfurled catch it, and go forward on their way, but those which have their sails furled do not catch the wind. Is that the fault of the wind? We make our own destiny.""",https://www.imdb.com/title/tt7055852/
Remember Humla,"Documentary, Short, Adventure",2013,840.0,,,"'Remember Humla' follows American, Charles Atkinson, on his journey to a remote corner of Nepal where his understanding of happiness is challenged when he discovers an ancient Tibetan culture threatened by extinction but continues to carry on their thousand year old traditions.",https://www.imdb.com/title/tt3106940/
Natedar,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0325887/
Kakhara,Documentary,2016,,,,Add a Plot,https://www.imdb.com/title/tt9548440/
The Designer,"Short, Crime, Drama",2015,540.0,,,"Past, Present, and Future Illusion of choice Coincidence, Faith, Belief and Time Life is designed!",https://www.imdb.com/title/tt5126728/
A Walk to Manang,"Documentary, Short",2009,1500.0,,,"A bunch of students make a trek to Lower Manang-Western Himalayan Region of Nepal. During the trek, they discover the myths, histories and the importance of Manang and the trekking trial.",https://www.imdb.com/title/tt2573106/
A Rough Cut on the Life and Times of Lachuman Magar,Documentary,2001,,,,Add a Plot,https://www.imdb.com/title/tt0326087/
Daiva Sanjog,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0391901/
The Man Who Died Once,"Documentary, Short",2018,2400.0,,,"Tragic circumstances bring together the wife and the mother of two migrant workers - one from the east, the other from west Nepal.",https://www.imdb.com/title/tt9389464/
The Copper Village,Documentary,2015,5400.0,,,"At a village in western Nepal where copper mines had operated for 400 years, former workers and local residents gather to reenact the vanishing practice of mining and smelting. The film captures village life and its festivities through the eyes of a visual anthropologist.",https://www.imdb.com/title/tt5103906/
Melong,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0385088/
A Mayalu Timi Lai,"Short, Music",2018,,,,Add a Plot,https://www.imdb.com/title/tt8272296/
Chaukaith,"Short, Drama",2008,1800.0,6.8,9.0,Chaukaith (Threshold) is about an encounter between two young women from two different worlds.,https://www.imdb.com/title/tt1494660/
Fever,"Short, Fantasy",2009,,8.5,8.0,A mom gets surprised as she discovers her son is having fever for no reason. She gets more shocked to find everyone in her family has fever.,https://www.imdb.com/title/tt2543854/
Kubaato,"Short, Drama",2007,840.0,,,"""Kubaato"" in Nepali means ""wrong way."" Set in Nepal, a kidnapping plot goes wrong",https://www.imdb.com/title/tt1657292/
Paani,"Short, Drama",2015,,,,"A boy in Nepal dreams anxiously about the world's water. As he sleeps, he sees it disappear before his eyes.",https://www.imdb.com/title/tt4572176/
Sanyas,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0316539/
Ma Khushi Chu,"Short, Drama",2011,1620.0,8.3,26.0,"Vashna lives to make others happy; their happiness is hers. Aakash is an aimless wanderer, with no ambition other than to live happily in the moment. When the two disparate souls meet, both are forced to rethink the meaning of happiness.",https://www.imdb.com/title/tt2087866/
Young Torture: Namarosh Hamro Maya,"Short, Music",2015,240.0,,,Add a Plot,https://www.imdb.com/title/tt7067346/
P.S. Zindagi,"Comedy, Drama, Romance",2016,1260.0,,,"P.S. Zindagi (Post Seismic Life) is Nepal's first online sitcom. It shows the unfolding of comedy and drama in the lives of five Nepali youth from diverse backgrounds, following the April 25th 2015 earthquake. It was a creative experiment where a small team used their own individual resources and passion to create a fun and self-empowering narrative of the lives of the urban youth.",https://www.imdb.com/title/tt5836462/
Threads of Hope,"Documentary, Short",2017,540.0,,,Add a Plot,https://www.imdb.com/title/tt7997484/
Tama Gaun: The Copper VIllage,Documentary,2015,5340.0,,,"In Nepal copper has a number of symbolic meanings and economic aspects connected to exchange and healing properties, as well as being the Hindu god Shiva. This film is about the age-old traditional practice of mining, smelting and casting of copper.",https://www.imdb.com/title/tt5357272/
Oscar Fun Talk,Talk-Show,2010,1740.0,,,Add a Plot,https://www.imdb.com/title/tt2593354/
Pralobhan,"Short, Drama",2015,480.0,,,"It is a story of a girl who has lost her entire family in the massive earthquake of 12 Baisakh, 2072.",https://www.imdb.com/title/tt5299690/
Hero,"Short, Musical",2018,300.0,,,Add a Plot,https://www.imdb.com/title/tt9076972/
Saas Fere Jasto Lagcha,"Short, Drama",2012,1500.0,7.4,9.0,"Set in the transitional political situation of Nepal, the story hovers around the four Nepalese people and their passion, happiness, madness, fanaticism, fear, anger, isolation, melancholy and each ones struggle to transform their situation by following what is meaningful and appealing to them and experience a moment of euphoria.",https://www.imdb.com/title/tt2474992/
Red Bull Vs. Monster,"Short, Action, Western",2011,120.0,,,"After drinking two different energy drinks, a cowboy and a cowgirl begins a chase against each other to prove/disprove the energy supplied by each drink. Ironically, soon later, they begin another chase with new energy drinks.",https://www.imdb.com/title/tt2603058/
Pooja,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0316425/
Kumari: The Jagat Lama Story,Documentary,2014,,,,Add a Plot,https://www.imdb.com/title/tt2913268/
Hridya Chune,"Short, Musical",2005,,,,Add a Plot,https://www.imdb.com/title/tt6223760/
Waiting Room,"Short, Drama",2011,,,,Add a Plot,https://www.imdb.com/title/tt2828040/
Jindagi Ko Har Mod Ma,"Short, Musical",2008,,,,Add a Plot,https://www.imdb.com/title/tt6256666/
Hundred Rupees,Short,,,,,"This inspirational short movie is based on truth and reality. The protagonists of this film are stone-grinder making mother and her begging daughter. The main motto of this film is that, though this generation is not secured from the widespread sexual harassment in the society. The education is must to be safe for forthcoming generation.",https://www.imdb.com/title/tt9637170/
Evening days,"Short, Drama",2016,540.0,,,youngsters lose their way to darker days...,https://www.imdb.com/title/tt6185064/
Mani Tamang feat. Subani Moktan: Timrai Lagi,"Short, Music",2016,300.0,,,Add a Plot,https://www.imdb.com/title/tt7066710/
68 Members,"Documentary, Short, Family",2014,2040.0,,,68 Members is the joint family story from far western terai part of Nepal.,https://www.imdb.com/title/tt5994520/
Saving Dolma,Documentary,2010,3720.0,,,A documentary about the position of female migrant workers in the Middle East.,https://www.imdb.com/title/tt2253078/
Betterfelt.com,"Documentary, Short",2010,1080.0,,,Add a Plot,https://www.imdb.com/title/tt2573208/
Pahichan,Short,2018,,,,Add a Plot,https://www.imdb.com/title/tt8382030/
Vedi Gothale,Drama,2016,7200.0,,,Add a Plot,https://www.imdb.com/title/tt7039460/
Bhariya,"Action, Drama",1996,8220.0,,,After their parent's death two children run away to city to live better life.,https://www.imdb.com/title/tt8391676/
Santushti,Music,2015,,,,Add a Plot,https://www.imdb.com/title/tt5542268/
A day in the life of kanchi,"Documentary, Short",2016,,,,A one minute portrait of actress Kanchi's one day of her life who is living in Nepal with her daughter just 7 years while her husband works hard in abroad.,https://www.imdb.com/title/tt7368100/
The Eternal Journey,Short,2016,900.0,,,This film chronicles ananta yatra (eternal journey) of and old woman who meets sudden demise in the 2015 AD Nepal Earthquake towards her salvation.,https://www.imdb.com/title/tt9296120/
U Got Me,"Short, Music",2017,180.0,,,Add a Plot,https://www.imdb.com/title/tt7480138/
Talking to the Air: Horses of the Last Forbidden Kingdom,"Documentary, Adventure, History",2014,3480.0,,,"On a tenuous border with China, the vanishing medieval culture of Mustang is where a man's wealth is measured in horses and riding is as elemental as breathing. TALKING TO THE AIR tells the story of the ascent of civilization in the high Himalaya and turns a lens on issues of globalization, fragile border politics and the precarious future for the horse in this remarkable region.",https://www.imdb.com/title/tt4485966/
Maya Ko Saino,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0304388/
Journey Beyond the Himalayas,"Documentary, Short",2009,1500.0,,,"Two Columbus (Journalist Prabesh Subedi and Artist Manoj Gajurel) crossed through the innumerable mountains, terraces and hillocks to reach the outlandish land and people of Mustang. The ...                See full synopsis »",https://www.imdb.com/title/tt2011075/
Madhesi,"Documentary, Short",2017,1620.0,,,Two mens' journeys to save south Nepal.,https://www.imdb.com/title/tt6967054/
In Search of the Riyal,Documentary,2009,5100.0,,,"A prospective of the Nepal immigrants leaving for the Gulf in order to earn some riyals (Iranian currency). With a quarter of the family members gone to work as cheap laborers, Nepal seems to have lost its self-sufficiency. From a family finance supported by money sent by a young son or husband from abroad to a society without any other means of income, there seems to be no way of knowing where the problem begins and ends. The only thing we can do is revisit the present situation of immigration, which is a result of a vicious cycle of individual danger, pain, agitation, fear, and repeated migration. It's not easy for the naive citizens of Nepal who grew up in a feudal agricultural society to delve into the capitalistic economy. What if the agency that introduced foreign employers is a fraud? What if their wage is delayed? What happens to a family without its head for years? What if the money from foreign lands is gone again? Not knowing what will happen next, the citizens of Nepal live another day chasing after the mirage of foreign laborers. Can they really find riyal?",https://www.imdb.com/title/tt1519643/
Aastha,Drama,,,,,Add a Plot,https://www.imdb.com/title/tt9517300/
The Sound of One Leg Dancing,"Documentary, Short, Drama",2011,1800.0,,,"In a desperate search for happiness, a one-legged seventeen year old girl from a very poor home walks into a surreal TV stage to compete in a glamorous dance program. She believes winning will help her overcome a traumatic childhood in which her parents kept her hidden indoors and the society laughed at her for being a sinner in a previous life.",https://www.imdb.com/title/tt2137392/
Bakshis,,2002,,9.0,5.0,Add a Plot,https://www.imdb.com/title/tt0315251/
Pralobhan,"Short, Drama",2015,420.0,8.1,9.0,"It is a story of a girl who has lost her entire family in the massive earthquake of 12 Baisakh, 2072, who becomes a victim of women trafficking,",https://www.imdb.com/title/tt5187396/
Mamaghar,"Action, Drama",2002,,,,"A woman raises her son with his uncle, when she is forced to leave her home after her mother-in-law's death.",https://www.imdb.com/title/tt0392407/
Life on the Road Nepal,"Documentary, Short, Adventure",2017,1800.0,,,A drive through some of the most beautiful sceneries of Nepal after the 2015 Earthquake.,https://www.imdb.com/title/tt6566950/
Daughters of Everest,Documentary,2006,3360.0,,,"DAUGHTERS OF EVEREST brings a unique flavor to the familiar story of the attempt to climb Mount Everest. In 2000, the first-ever expedition of Sherpa women to climb Everest was organized. This captivating documentary gives a close-up account of the expedition. To the Sherpa people, the ethnic group legendary for their unmatched skill in mountaineering, the mountain is a holy place. Mount Everest is ""Chomolongma"" - Mother Goddess of the Universe. Ironically, Sherpa women have long been discouraged from climbing the powerful and daunting Everest, relegated instead to more traditional roles as homemakers or into support roles in the prestigious climbing industry of Nepal. The documentary follows the five diverse, charismatic women chosen for this historic expedition. Told from a woman's perspective rarely seen on Everest or off, the film is a dramatic, inspiring Everest story and an absorbing portrait of the Sherpa community.",https://www.imdb.com/title/tt5337940/
Baimani,,2001,,,,Add a Plot,https://www.imdb.com/title/tt0325044/
Talk of the town USA,Talk-Show,2015,1800.0,,,Add a Plot,https://www.imdb.com/title/tt9424474/
Denied: A Life Confined,"Documentary, Short",2013,1320.0,,,"For many disabled and other marginalized populations, economic and educational barriers are significant and access to services and a life with dignity is a struggle. This documentary is a portrait of a severely disabled young man in Nepal, whose world is confined to one room but whose daily life is sustained by his family's love and care.",https://www.imdb.com/title/tt4912546/
The Spirit Doesn't Come Anymore,"Documentary, Short",1997,2280.0,,,Add a Plot,https://www.imdb.com/title/tt0326200/
Scaling the Mountain,"Documentary, Short",2014,600.0,,,Add a Plot,https://www.imdb.com/title/tt4088962/
Yesarinai Aaru Phulchha,"Animation, Short, Family",2011,1680.0,,,The war between the Gov and the Maoists rebels ran for ten years in Nepal. In the film we are trying to include the feelings of a mother who has lost her son.,https://www.imdb.com/title/tt2789538/
Festival of Tihar,"Documentary, Short, History",2018,1560.0,,,"A spiritual journey of Nepal. Festivals of Tihar is a five-day Hindu festival reverence to the Gods, the bonding between animals and Humans; hence each day Crows, Dogs, Cows, Oxen and Brothers are worshipped.",https://www.imdb.com/title/tt8946618/
Ke Bho Lau Na Ni,,2001,,7.3,6.0,Add a Plot,https://www.imdb.com/title/tt0304266/
Samaya Ra Paristhiti,Short,2014,360.0,7.3,6.0,How often do we come to terms with ourselves? How often do we find time to stand and stare for a while? Do we even breathe a sigh of relief? How often have we asked ourselves if we really are happy? Is what you are doing what you always wanted to do? Do you notice the humming of birds anymore? Do you notice the cool breeze of wind kissing your cheeks as you walk by? Do you feel the selfless emotions anymore? Do you ever feel this that you are not being yourself but somebody you are ought to be? Do you live between the moments or are they the moments that handcuff you the way they want you to live? Are you happy with the countless compromised you make with your soul everyday? Do you realize how the time is slipping by and you and I are dancing to the the tunes of circumstances? Samaya Ra Paristhiti is all about this.,https://www.imdb.com/title/tt4899194/
Pijanda,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0325976/
Eve Teasing,Short,2015,120.0,,,Add a Plot,https://www.imdb.com/title/tt7056054/
Palla Ghar Ko Jhyal Ma,"Short, Musical",2003,,,,Add a Plot,https://www.imdb.com/title/tt6235692/
Baacha Bandhan,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0315241/
Rolpa Rog,Drama,2016,,,,Add a Plot,https://www.imdb.com/title/tt8657794/
Riingata,"Documentary, Drama",2015,7020.0,8.4,7.0,"Set in Northern Nepal, during the climax of the civil war that consumed thousands of lives and caused an unprecedented loss and damage to property,",https://www.imdb.com/title/tt5178620/
Nepal Talent Hunt,Reality-TV,2018,3600.0,,,Add a Plot,https://www.imdb.com/title/tt8748780/
The Blessing,"Short, Action, Adventure",2015,900.0,,,Add a Plot,https://www.imdb.com/title/tt4823898/
Suruwaat: Euta Naya Jiwan,Drama,2012,,,,Add a Plot,https://www.imdb.com/title/tt3208986/
Memory,"Short, Drama",2017,720.0,,,PRAKASH lonely unmarried boy visits different places to get rid off the memory .,https://www.imdb.com/title/tt7224346/
Gaun Ramililo,"Short, Musical",2006,,,,Add a Plot,https://www.imdb.com/title/tt6280380/
Bhatbhate,Short,2016,780.0,,,Add a Plot,https://www.imdb.com/title/tt6972418/
Moving Mountains,"Documentary, Short",2015,,,,Moving Mountains draws on experiences of Kathmandu's catastrophic 1934 quake to highlight the seismic threat to the city and explain what people can do to prepare.,https://www.imdb.com/title/tt4492350/
Dui Kinara,"Drama, Romance",2003,,,,Add a Plot,https://www.imdb.com/title/tt8165420/
Nata Ragat Ko,,1999,,7.8,9.0,Add a Plot,https://www.imdb.com/title/tt0301653/
The Lost Locket,"Short, Thriller",2018,300.0,,,"Each night a girl wakes up to a mysterious dream. When she goes on a journey find the answers for her dreams, she finds out it had been a trap set for her.",https://www.imdb.com/title/tt8274150/
The Last Evening on Earth,"Short, Drama, Sci-Fi",2015,180.0,6.5,6.0,A man who is back from space visits his grand daughter before dying.,https://www.imdb.com/title/tt4810692/
Sannani,,1994,,,,Add a Plot,https://www.imdb.com/title/tt0301804/
Tapasya,,1991,,,,Add a Plot,https://www.imdb.com/title/tt0301919/
Gyalmu's House,Documentary,2016,1080.0,,,"A woman of great courage, humour and dignity rebuilds her life high in the mountains after an earthquake of terrible power devastated Nepal's Langtang Valley.",https://www.imdb.com/title/tt5885306/
Rajamati,Drama,1995,,,,Add a Plot,https://www.imdb.com/title/tt8470680/
Hiccups,"Short, Drama",2017,840.0,,,Sarala must face herself in the mirror when she falls in love with a thief.,https://www.imdb.com/title/tt7025336/
The Great Mukhiya,"Short, Comedy",2017,780.0,,,An uptight head of a village has to hunt down a ferocious wild boar to pose for the first ever photograph in his tyrannical lineage.,https://www.imdb.com/title/tt7744962/
Idiosyncratic,Short,2019,720.0,,,"A man with an absurd behavior tries to overcome his past. His desire to move on is trapped despite his efforts. Relentlessly, he accepts that his existence in this world is worthless.",https://www.imdb.com/title/tt10800502/
"Sex, Partying & Peer Pressure","Short, Drama, Family",2015,120.0,,,Add a Plot,https://www.imdb.com/title/tt7055880/
Gold in the Ashes,"Documentary, Short",2017,1020.0,,,"A Nepalese hospice doctor at a Hindu, open-air cremation site in Kathmandu, struggles to make sense of life and death in the moments surrounding the devastating 2015 earthquake.",https://www.imdb.com/title/tt7350824/
Child Centre Out of School Program,"Documentary, Short",2005,780.0,,,Add a Plot,https://www.imdb.com/title/tt2573092/
Chungi (Colours Of Life),"Short, Biography",2015,120.0,,,Various colours involved in daily life portrayed through a child's play.,https://www.imdb.com/title/tt5156216/
Purpose of Living,Short,,,,,A Story about a girl who is depressed about her daily life and surrounding which leads her to think suicide is the only key for freedom. Can she overcome her depression or will it end her precious life.,https://www.imdb.com/title/tt6957432/
Khandan,,2002,,8.3,6.0,"Sudha, who is pregnant, never thought that Gyatri Subedi, her mother-in-law, would hatch such a cruel conspiracy against her just after her newlywed husband Vijaya left for the city. Subsequently, Gyatri, with the help of Manthara, bribes a witch-doctor to declare Sudha a witch.",https://www.imdb.com/title/tt0304286/
Nilo Aakash,"Short, Musical",2006,,,,Add a Plot,https://www.imdb.com/title/tt6253340/
Bhagya Le Jurayo,,2002,,,,Add a Plot,https://www.imdb.com/title/tt0315284/
